Date;Close
02/01/2019;19482.5
03/01/2019;19535
04/01/2019;19585
07/01/2019;19745
08/01/2019;19942.5
09/01/2019;20147.5
10/01/2019;20147.5
11/01/2019;20285
14/01/2019;20517.5
15/01/2019;20667.5
16/01/2019;20522.5
17/01/2019;20612.5
18/01/2019;20600
21/01/2019;20632.5
22/01/2019;20432.5
23/01/2019;20687.5
24/01/2019;20917.5
25/01/2019;20580
28/01/2019;20640
29/01/2019;20702.5
30/01/2019;20767.5
31/01/2019;20850
01/02/2019;20880
04/02/2019;20842.5
05/02/2019;20882.5
06/02/2019;20985
07/02/2019;20955
08/02/2019;21022.5
11/02/2019;21012.5
12/02/2019;20947.5
13/02/2019;21040
14/02/2019;20922.5
15/02/2019;21130
18/02/2019;21142.5
19/02/2019;21162.5
20/02/2019;21247.5
21/02/2019;21270
22/02/2019;21537.5
25/02/2019;21775
26/02/2019;21615
27/02/2019;21557.5
28/02/2019;21615
01/03/2019;21610
04/03/2019;21477.5
05/03/2019;21565
06/03/2019;21410
07/03/2019;21465
08/03/2019;21370
11/03/2019;21022.5
12/03/2019;21270
13/03/2019;21150
14/03/2019;21192.5
15/03/2019;21112.5
18/03/2019;21155
19/03/2019;21327.5
20/03/2019;21367.5
21/03/2019;21467.5
22/03/2019;21407.5
25/03/2019;21405
26/03/2019;21350
27/03/2019;21360
28/03/2019;21437.5
29/03/2019;21422.5
01/04/2019;21432.5
02/04/2019;21215
03/04/2019;21207.5
04/04/2019;21142.5
05/04/2019;20835
08/04/2019;20842.5
09/04/2019;20870
10/04/2019;20797.5
11/04/2019;20597.5
12/04/2019;20677.5
15/04/2019;20602.5
16/04/2019;20510
17/04/2019;20370
18/04/2019;20227.5
23/04/2019;19812.5
24/04/2019;19692.5
25/04/2019;19820
26/04/2019;19930
29/04/2019;19710
30/04/2019;19707.5
01/05/2019;19572.5
02/05/2019;19337.5
03/05/2019;19220
07/05/2019;19417.5
08/05/2019;19430
09/05/2019;19352.5
10/05/2019;19502.5
13/05/2019;19362.5
14/05/2019;19777.5
15/05/2019;19705
16/05/2019;19447.5
17/05/2019;19460
20/05/2019;19445
21/05/2019;19427.5
22/05/2019;19335
23/05/2019;19325
24/05/2019;19320
28/05/2019;19127.5
29/05/2019;18745
30/05/2019;18772.5
31/05/2019;18742.5
03/06/2019;19172.5
04/06/2019;19102.5
05/06/2019;19055
06/06/2019;19292.5
07/06/2019;19292.5
10/06/2019;19230
11/06/2019;19195
12/06/2019;19272.5
13/06/2019;19355
14/06/2019;19285
17/06/2019;18915
18/06/2019;19187.5
19/06/2019;18930
20/06/2019;19145
21/06/2019;18982.5
24/06/2019;19050
25/06/2019;19017.5
26/06/2019;18882.5
27/06/2019;18860
28/06/2019;18825
01/07/2019;18880
02/07/2019;17662.5
03/07/2019;18207.5
04/07/2019;18410
05/07/2019;18345
08/07/2019;18477.5
09/07/2019;18250
10/07/2019;18197.5
11/07/2019;18290
12/07/2019;18217.5
15/07/2019;17940
16/07/2019;17927.5
17/07/2019;17932.5
18/07/2019;17847.5
19/07/2019;17785
22/07/2019;17900
23/07/2019;17692.5
24/07/2019;17967.5
25/07/2019;17790
26/07/2019;17667.5
29/07/2019;17595
